VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VV_16,VH_17,VH_18,VH_19,VH_20,VH_21,VH_22,VH_23,VH_24,VH_25,VH_26,VH_27,VH_28,VH_29,VH_30,VH_31,VH_32,VHVV_33,VHVV_34,VHVV_35,VHVV_36,VHVV_37,VHVV_38,VHVV_39,VHVV_40,VHVV_41,VHVV_42,VHVV_43,VHVV_44,VHVV_45,VHVV_46,VHVV_47,VHVV_48,label
-11.692141,-10.397439,-9.674069,-13.943871,-12.687057,-12.183094,-8.054831,-10.565202,-10.290954,-11.877596,-9.716718,-10.662844,-13.341949,-11.816584,-13.545419,-9.656566,-21.893162,-19.216,-18.715927,-20.546883,-23.766888,-21.56767,-22.495207,-19.939034,-19.858934,-24.325363,-17.663507,-21.092543,-20.863346,-21.043863,-22.783087,-21.516026,1.8724682,1.8481475,1.9346488,1.4735422,1.8733177,1.7702951,2.7927597,1.8872364,1.9297469,2.048004,1.817847,1.9781349,1.5637404,1.7808754,1.6819774,2.228124,0
-13.443462,-9.236458,-11.88525,-9.440643,-10.666947,-10.789452,-10.8146925,-11.881237,-10.397105,-13.1320715,-9.399919,-8.048235,-14.458085,-11.703102,-9.478711,-9.415884,-15.726752,-21.724901,-24.142324,-17.191675,-16.408455,-19.110209,-21.081741,-16.675499,-16.310488,-15.121769,-17.154654,-18.594814,-21.894838,-18.114225,-13.674297,-18.31157,1.1698439,2.3520815,2.0312843,1.8210279,1.5382521,1.7711936,1.9493611,1.4035153,1.5687528,1.1515144,1.824979,2.3104215,1.5143664,1.547814,1.4426326,1.944753,0
-10.337954,-10.475055,-9.482339,-10.552844,-9.900645,-7.915264,-7.6004686,-7.088143,-6.915394,-13.083526,-9.666478,-13.419842,-12.925062,-6.6535964,-10.373521,-8.950004,-19.497002,-16.171724,-22.121552,-20.22875,-21.215542,-14.598482,-19.273363,-17.4607,-14.041078,-13.237431,-22.343418,-16.729797,-19.813095,-14.812039,-13.908196,-14.660131,1.8859634,1.5438321,2.3329213,1.9169004,2.1428442,1.8443456,2.5358124,2.4633672,2.030409,1.0117633,2.311433,1.2466464,1.5329207,2.2261705,1.3407402,1.6380028,0
-6.6246595,-8.4466095,-9.07111,-9.471049,-8.820152,-8.550912,-9.237726,-7.65164,-9.612894,-7.405427,-5.941099,-9.707755,-8.148914,-9.22831,-9.37052,-8.370692,-16.680334,-18.080408,-14.095521,-19.983465,-14.547967,-16.420582,-15.617002,-19.71895,-15.783846,-17.275782,-14.32684,-20.93349,-14.597941,-15.860904,-17.458155,-18.530819,2.5179157,2.140552,1.5538915,2.1099524,1.649401,1.9203312,1.6905677,2.577088,1.6419452,2.3328543,2.41148,2.1563678,1.7913971,1.7187225,1.8630936,2.213774,1
-8.436963,-11.387877,-11.952678,-9.490462,-10.822655,-8.048751,-11.216821,-9.345047,-5.0988173,-10.007469,-6.9183326,-8.6604395,-7.7801037,-11.101978,-9.424324,-9.497499,-15.8617735,-15.658811,-19.270796,-13.4138565,-14.46517,-15.284482,-16.279259,-17.054434,-16.139685,-14.514548,-17.695942,-15.665713,-14.745669,-16.141008,-18.975735,-14.115108,1.8800336,1.3750421,1.6122576,1.4134039,1.336564,1.8989882,1.4513257,1.8249702,3.165378,1.4503714,2.5578332,1.8088821,1.895305,1.4538857,2.013485,1.4861919,0
-11.624885,-7.878301,-15.8245945,-15.31977,-10.857063,-7.5171833,-10.053499,-13.169974,-6.852217,-10.74582,-11.955117,-15.419029,-11.430288,-12.328958,-11.812122,-10.141219,-16.906494,-15.278996,-21.7478,-25.114462,-20.321577,-23.531773,-18.651615,-19.563692,-22.813963,-15.411384,-16.02787,-18.738152,-14.95525,-23.556107,-20.415487,-23.381079,1.4543365,1.9393771,1.3743039,1.6393498,1.8717378,3.1303976,1.855236,1.4854769,3.3294277,1.4341748,1.3406703,1.2152615,1.3083878,1.9106325,1.7283504,2.3055491,0
-5.6544766,-8.141962,-8.91246,-7.71826,-10.168661,-8.271764,-8.06987,-8.810855,-8.66549,-4.6077747,-7.3496165,-10.393114,-7.008196,-8.842386,-6.2568107,-7.2076173,-13.869489,-15.420133,-13.284655,-17.800123,-14.089302,-12.552108,-14.28598,-10.860733,-10.952697,-13.353488,-12.776283,-11.095173,-11.772422,-14.733669,-13.057181,-15.21679,2.4528332,1.8939086,1.490571,2.3062353,1.3855611,1.5174645,1.7702863,1.2326539,1.2639443,2.898034,1.7383605,1.0675504,1.6798077,1.6662549,2.086875,2.1112094,0
-7.9293547,-5.9894166,-7.2343397,-7.1313734,-4.5769877,-4.3276343,-5.3428435,-6.8210077,-5.1117268,-6.7474065,-9.011076,-9.099392,-9.715626,-10.416227,-10.275354,-9.611468,-16.93782,-13.762376,-15.811233,-12.852692,-12.138976,-13.176019,-18.46202,-14.267154,-11.488621,-15.298107,-14.102195,-13.999073,-14.697028,-17.060442,-16.846159,-14.763363,2.1360905,2.2977824,2.1855807,1.8022743,2.652176,3.044624,3.4554672,2.0916488,2.2475028,2.2672575,1.5649846,1.5384624,1.5127207,1.6378715,1.6394722,1.5360153,0
-9.537341,-10.262514,-11.700729,-8.50908,-8.030363,-15.748252,-15.028082,-11.072735,-10.701276,-11.5212555,-9.687282,-10.260315,-10.234394,-10.083507,-9.764608,-11.215887,-15.69334,-16.320856,-17.751923,-15.681828,-16.285685,-24.367908,-21.966684,-25.427114,-20.095743,-20.290232,-16.854088,-15.687166,-11.190658,-14.519896,-12.120898,-20.59477,1.6454629,1.590337,1.5171636,1.8429521,2.0280135,1.5473405,1.4617091,2.2963717,1.877883,1.7611128,1.7398161,1.5289166,1.0934362,1.4399649,1.2413092,1.8362141,0
-9.922648,-10.430982,-9.6582985,-11.6093025,-7.3445263,-6.158258,-8.218713,-7.5764,-11.890454,-8.646947,-6.230805,-5.578881,-4.4601445,-6.490204,-7.3670673,-10.403949,-17.828182,-13.44513,-13.114764,-15.227819,-14.825411,-14.557393,-16.242043,-12.991392,-13.934434,-12.674012,-13.181269,-14.693887,-14.42884,-14.10775,-15.21456,-15.881781,1.7967161,1.2889613,1.3578752,1.311691,2.018566,2.3638818,1.9762273,1.7147183,1.1719009,1.4657211,2.1155002,2.6338413,3.2350612,2.1736991,2.0652125,1.5265146,0
